city,num_emergencies,algorithm,objective_mean,objective_std,time_mean,time_std,runs
bangalore_central,5,Adaptive GA,2.417294313234139,0.0,0.6349485715230306,0.06358153805610231,3
bangalore_central,5,Elitist GA,2.417294313234139,0.0,0.6074763933817545,0.06677234839095963,3
bangalore_central,5,Hybrid GA,2.417294313234139,0.0,1.0751636028289795,0.13950104844096511,3
bangalore_central,5,Standard GA,1.933835450587311,0.0,0.37908212343851727,0.018927799302783092,3
bangalore_central,10,Adaptive GA,4.834588626468277,0.0,0.9474029541015625,0.18417302154369308,3
bangalore_central,10,Elitist GA,4.834588626468277,0.0,0.8730679353078207,0.08811721917621328,3
bangalore_central,10,Hybrid GA,4.834588626468277,0.0,4.445055405298869,0.4068679339705713,3
bangalore_central,10,Standard GA,3.867670901174622,0.0,0.4618976910909017,0.008713194549595375,3
bangalore_central,15,Adaptive GA,7.2518829397024165,0.0,1.0964985688527424,0.07506757049224125,3
bangalore_central,15,Elitist GA,7.2518829397024165,0.0,1.0341774622599285,0.034322117483547535,3
bangalore_central,15,Hybrid GA,7.2518829397024165,0.0,14.254348119099935,0.7796042901085793,3
bangalore_central,15,Standard GA,5.801506351761934,0.0,0.4989636739095052,0.010356126895088065,3
bangalore_central,20,Adaptive GA,9.66917725293656,0.0,1.2583707968393962,0.1049576654977734,3
bangalore_central,20,Elitist GA,9.66917725293656,0.0,1.389363129933675,0.27610336612274294,3
bangalore_central,20,Hybrid GA,9.66917725293656,0.0,26.020416498184204,7.5656841715743814,3
bangalore_central,20,Standard GA,7.735341802349249,0.0,0.6754272778828939,0.0886533168092442,3
bangalore_central,25,Adaptive GA,12.086471566170701,0.0,1.5591812133789062,0.2080674130521459,3
bangalore_central,25,Elitist GA,12.086471566170701,0.0,1.6538723309834797,0.32983234287888735,3
bangalore_central,25,Hybrid GA,12.086471566170701,0.0,56.816951751708984,2.252667395948305,3
bangalore_central,25,Standard GA,9.669177252936562,0.0,0.8525532086690267,0.1695671638732083,3
cambridge_ma,5,Adaptive GA,3.4727833927863654,0.2981952354961056,0.6559425989786783,0.0337818773510075,3
cambridge_ma,5,Elitist GA,3.4727833927863654,0.2981952354961056,0.6710665225982666,0.08590891146669634,3
cambridge_ma,5,Hybrid GA,3.4727833927863654,0.2981952354961056,1.2088851928710938,0.08705640970407041,3
cambridge_ma,5,Standard GA,2.915957193816885,0.0,0.42449037233988446,0.04633824205888693,3
cambridge_ma,10,Adaptive GA,7.1177298850574715,0.2981952354961057,0.7630517482757568,0.021965972730174543,3
cambridge_ma,10,Elitist GA,7.1177298850574715,0.2981952354961057,0.7583324114481608,0.06590834974372145,3
cambridge_ma,10,Hybrid GA,7.1177298850574715,0.2981952354961057,4.225894133249919,0.3266272909189886,3
cambridge_ma,10,Standard GA,5.694183908045978,0.23855618839688444,0.5057597160339355,0.17861882250813285,3
cambridge_ma,15,Adaptive GA,10.762676377328575,0.2981952354961055,1.0796868801116943,0.0191739773323103,3
cambridge_ma,15,Elitist GA,10.762676377328575,0.2981952354961055,1.083074967066447,0.07442410914442202,3
cambridge_ma,15,Hybrid GA,10.762676377328575,0.2981952354961055,12.348225831985474,0.30836423032721294,3
cambridge_ma,15,Standard GA,8.610141101862864,0.23855618839688464,0.5229172706604004,0.06043056567732587,3
cambridge_ma,20,Adaptive GA,14.40762286959968,0.2981952354961055,1.4397228558858235,0.1794443958634438,3
cambridge_ma,20,Elitist GA,14.40762286959968,0.2981952354961055,1.2379284699757893,0.05360859188567932,3
cambridge_ma,20,Hybrid GA,14.40762286959968,0.2981952354961055,24.51698136329651,7.1130316169204395,3
cambridge_ma,20,Standard GA,11.526098295679747,0.23855618839688464,0.6225699583689371,0.036695134764464184,3
cambridge_ma,25,Adaptive GA,17.892906262386045,0.28798095812379904,0.937918504079183,0.2887168658365401,3
cambridge_ma,25,Elitist GA,17.892906262386045,0.28798095812379904,0.918426513671875,0.2921180499799726,3
cambridge_ma,25,Hybrid GA,17.892906262386045,0.28798095812379904,38.60514887173971,12.75218325086028,3
cambridge_ma,25,Standard GA,14.442055489496632,0.23855618839688464,0.41764028867085773,0.21763617869997096,3
koramangala,5,Adaptive GA,2.5786419036564134,0.0,0.7711892127990723,0.05171517910671546,3
koramangala,5,Elitist GA,2.5786419036564134,0.0,0.8180421193440756,0.04389143598697353,3
koramangala,5,Hybrid GA,2.5786419036564134,0.0,1.4534154733022053,0.15608710461571287,3
koramangala,5,Standard GA,2.0629135229251307,0.0,0.4006945292154948,0.19962887780772667,3
koramangala,10,Adaptive GA,5.157283807312827,0.0,0.9647879600524902,0.00498970410514395,3
koramangala,10,Elitist GA,5.157283807312827,0.0,1.0128216743469238,0.12947921877543436,3
koramangala,10,Hybrid GA,5.157283807312827,0.0,5.000739733378093,0.3939412522363984,3
koramangala,10,Standard GA,4.125827045850262,0.0,0.5700569947560629,0.1287616302782598,3
koramangala,15,Adaptive GA,7.735925710969241,0.0,1.349643627802531,0.15558125234357884,3
koramangala,15,Elitist GA,7.735925710969241,0.0,1.2395079930623372,0.08982897377690394,3
koramangala,15,Hybrid GA,7.735925710969241,0.0,15.706602017084757,0.7636158791315523,3
koramangala,15,Standard GA,6.188740568775394,0.0,0.6684583028157552,0.06078808628606819,3
koramangala,20,Adaptive GA,10.167658154381892,0.25445464925471395,1.6023781299591064,0.2745113434790562,3
koramangala,20,Elitist GA,10.167658154381892,0.25445464925471395,1.4404654502868652,0.15713321137487885,3
koramangala,20,Hybrid GA,10.167658154381892,0.25445464925471395,34.42498302459717,2.2837758273618323,3
koramangala,20,Standard GA,8.134126523505516,0.20356371940377102,0.797788143157959,0.09477170245039516,3
koramangala,25,Adaptive GA,12.599390597794544,0.5089092985094272,1.8641338348388672,0.17940189605268164,3
koramangala,25,Elitist GA,12.599390597794544,0.5089092985094272,1.8960638840993245,0.3863716988038876,3
koramangala,25,Hybrid GA,12.599390597794544,0.5089092985094272,64.95821332931519,1.8585696624039456,3
koramangala,25,Standard GA,10.197040046430644,0.20356371940377047,0.869261105855306,0.15374425012183687,3
