algorithm,city,objective,time_s,status,convergence,best_solution,num_nodes,num_edges,num_emergencies
Standard GA,koramangala,5.733575159605341,0.6306757926940918,success,"[np.float64(5.733575159605341), np.float64(5.733575159605341), np.float64(5.733575159605341), np.float64(5.733575159605341), np.float64(5.733575159605341), np.float64(5.733575159605341), np.float64(5.733575159605341), np.float64(5.733575159605341), np.float64(5.733575159605341), np.float64(5.733575159605341)]","[0, 2, 8, 12, 10, 4, 5, 6, 11, 1, 3, 7, 14, 9, 13]",683,1723,15
Elitist GA,koramangala,7.166968949506675,0.5961308479309082,ok,"[np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675), np.float64(7.166968949506675)]","[0, 1, 2, 8, 3, 4, 5, 6, 7, 9, 14, 10, 11, 12, 13, 15]",683,1723,15
Adaptive GA,koramangala,7.166968949506674,0.590796709060669,ok,"[np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674)]","[0, 14, 9, 12, 7, 10, 3, 13, 6, 5, 15, 4, 1, 11, 2, 8]",683,1723,15
Hybrid GA,koramangala,7.166968949506674,6.650529623031616,ok,"[np.float64(7.166968949506675), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674), np.float64(7.166968949506674)]","[0, 10, 9, 14, 12, 7, 1, 15, 3, 6, 11, 4, 13, 5, 2, 8]",683,1723,15
Standard GA,bangalore_central,5.801506351761935,0.44433021545410156,success,"[np.float64(5.801506351761935), np.float64(5.801506351761935), np.float64(5.801506351761935), np.float64(5.801506351761935), np.float64(5.801506351761935), np.float64(5.801506351761935), np.float64(5.801506351761935), np.float64(5.801506351761935), np.float64(5.801506351761935), np.float64(5.801506351761935)]","[2, 12, 9, 7, 4, 6, 5, 10, 13, 8, 11, 3, 1, 14, 0]",153750,390679,15
Elitist GA,bangalore_central,7.251882939702417,0.525719165802002,ok,"[np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",153750,390679,15
Adaptive GA,bangalore_central,7.251882939702417,0.5319910049438477,ok,"[np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",153750,390679,15
Hybrid GA,bangalore_central,7.251882939702417,5.9179627895355225,ok,"[np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417), np.float64(7.251882939702417)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",153750,390679,15
Standard GA,cambridge_ma,8.747871581450655,0.5089378356933594,success,"[np.float64(8.747871581450655), np.float64(8.747871581450655), np.float64(8.747871581450655), np.float64(8.747871581450655), np.float64(8.747871581450655), np.float64(8.747871581450655), np.float64(8.747871581450655), np.float64(8.747871581450655), np.float64(8.747871581450655), np.float64(8.747871581450655)]","[2, 12, 9, 7, 4, 6, 5, 10, 13, 8, 11, 3, 1, 14, 0]",1878,4205,15
Elitist GA,cambridge_ma,10.934839476813316,0.47803807258605957,ok,"[np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",1878,4205,15
Adaptive GA,cambridge_ma,10.934839476813316,0.4538877010345459,ok,"[np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",1878,4205,15
Hybrid GA,cambridge_ma,10.934839476813316,5.956483840942383,ok,"[np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316), np.float64(10.934839476813316)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",1878,4205,15
